latitude,longitude,uid
3.854672,6.980574,115
4.543244,7.059727,116
3.97867,7.75775,117
4.559352,6.975632,118
6.012434,5.878406,119
4.451567,6.283504,120
6.153626,5.342629,121
5.143682,6.92057,122
4.242619,7.794276,123
5.545762,6.68292,124
5.436114,5.142044,125
4.892509,7.119892,126
5.354445,6.84105,127
5.007704,6.811532,128
4.468913,7.19645,129
4.420057,6.517138,130
4.842663,7.254801,131
4.912735,5.773247,132
5.356279,6.143955,133
5.599831,5.454556,134
4.353885,8.246153,135
4.105167,7.799774,136
4.992695,5.554883,137
4.12815,8.095897,138
4.428878,7.170937,139
4.959458,6.774416,140
4.292205,7.650267,141
5.548496,6.013312,142
4.100702,8.172012,143
4.576699,8.422416,144
5.534727,5.5378,145
5.247562,6.660643,146
4.836993,7.104662,147
4.729032,7.119595,148
5.376138,5.30827,149
4.275289,8.166821,150
4.300061,7.682616,151
5.431046,5.26809,152
5.673433,5.274825,153
5.091295,6.528488,154
5.112399,6.557369,155
5.360636,5.32493,156
4.648758,6.632193,157
5.7314,6.657126,158
5.726986,4.831134,159
5.412558,5.321072,160
5.86035,5.133001,161
4.28819,7.670624,162
4.99794,5.686753,163
4.851114,5.691999,164
5.197406,6.490617,165
5.612289,5.224178,166
4.365191,7.998095,167
5.758374,4.920854,168
4.267475,8.166799,169
3.052429,6.697847,170
5.025122,6.358846,171
4.92898,6.654355,172
5.488317,6.244409,173
4.998431,7.167064,174
5.375468,6.0399,175
5.709104,5.336883,176
5.655228,5.146454,177
5.816732,5.20144,178
5.789189,6.574294,179
5.771643,6.627005,180
4.885428,6.372313,181
4.304603,7.659104,182
3.465221,5.561435,183
5.659596,6.516632,184
5.386186,6.657389,185
5.684799,6.35981,186
5.358735,4.341838,187
5.900519,5.582816,188
4.289973,8.167037,189
6.062191,5.586581,190
6.013549,5.865213,191
4.017078,7.491864,192
5.250439,6.599722,193
4.14585,7.971845,194
5.634489,6.669521,195
3.575415,7.393915,196
5.708341,4.481322,197
4.316794,8.366324,198
5.883345,6.218056,199
3.989465,7.290105,200
5.614265,5.201486,201
5.951055,5.050558,202
5.71613,6.48641,203
5.524023,5.467851,204
4.507464,5.739914,205
4.365216,7.997978,206
5.433981,5.884212,207
4.459591,7.468487,208
4.40361,7.828421,209
4.106322,7.624797,210
5.515772,5.937544,211
4.552958,8.009434,212
5.687485,6.591402,213
4.554392,4.615991,214
3.940465,6.397362,215
4.661132,6.077444,216
4.556505,7.003425,217
4.653488,7.059501,218
5.568335,6.305062,219
5.099594,6.50654,220
4.552059,7.045028,221
4.800415,6.090077,222
5.559387,5.072604,223
4.135397,7.515629,224
4.105007,7.799798,225
4.628936,6.263729,226
5.447574,5.880146,227
3.141972,6.823174,228
6.064998,5.43744,229
5.458636,6.694965,230
4.526487,6.632442,231
5.192797,6.76182,232
5.503688,6.831728,233
5.618992,6.814653,234
4.433528,6.324833,235
5.803073,6.560991,236
5.715624,6.4211,237
5.783862,5.428312,238
4.441572,6.361603,239
5.665683,6.394494,240
4.655848,6.614966,241
4.559264,6.975839,242
4.813741,5.961746,243
5.913589,4.880193,244
5.535923,5.194658,245
4.530011,6.818961,246
4.556028,5.921005,247
5.018311,6.30012,248
5.687856,5.377177,249
4.851062,5.691924,250
4.539788,6.503576,251
5.459142,6.179843,252
5.77164,6.627026,253
5.237591,6.626559,254
4.559964,6.70994,255
4.326627,5.821601,256
5.435994,5.141848,257
6.16297,2.931611,258
5.923629,5.316528,259
4.549323,6.666075,260
6.153549,5.342587,261
6.041795,6.276159,262
5.52181,6.058555,263
4.86591,7.249331,264
5.326969,6.241267,265
4.625788,6.814885,266
3.854599,6.980416,267
6.038293,5.717506,268
3.953813,7.774879,269
5.600329,5.108983,270
4.966278,6.643205,271
4.338304,5.925453,272
5.78918,6.574281,273
4.41999,6.517006,274
5.538569,5.894828,275
4.0347,7.686241,276
4.912707,5.773229,277
5.330489,5.208921,278
5.661607,6.706089,279
4.452646,6.325436,280
5.537559,5.091955,281
5.489597,6.135596,282
5.574036,5.058877,283
4.127938,8.096066,284
5.545861,6.682997,285
4.581881,8.190184,286
3.955412,7.75821,287
4.271669,8.338097,288
4.980397,7.181907,289
4.274088,8.165773,290
4.554556,6.900393,291
4.300161,7.679242,292
4.930056,7.016178,293
5.726983,4.831116,294
6.126963,6.015014,295
4.842473,7.254763,296
5.143248,6.920604,297
4.9332,6.976337,298
5.82311,6.441643,299
4.802665,5.311816,300
5.356168,6.144016,301
4.878538,5.615568,302
5.025012,6.359205,303
5.376131,5.30793,304
5.653831,6.537469,305
5.534609,5.537866,306
4.366963,5.791048,307
6.012532,5.878393,308
3.470397,5.546239,309
5.860296,5.132949,310
5.863456,5.691777,311
5.247531,6.660652,312
5.5661060000000004,5.22079,313
4.9979,5.686708,314
5.379692,6.674264,315
5.354158,6.840488,316
4.451639,6.283402,317
4.729073,7.119531,318
5.816746,5.201375,319
5.599481,5.454859,320
4.992394,5.554709,321
4.892471,7.119821,322
3.97861,7.757786,323
5.857725,5.685551,324
4.543697,7.061961,325
6.442367,4.049215,326
4.928808,6.654316,327
4.292135,7.650323,328
4.982095,7.11782,329
4.605749,8.015862,330
4.648897,6.631986,331
3.93527,5.87105,332
5.197403,6.490595,333
4.320176,7.666664,334
4.283664,8.187082,335
4.100561,8.172118,336
4.83638,7.105459,337
5.774325,4.89031,338
4.576525,8.422554,339
3.450643,5.566807,340
4.816226,5.951174,341
3.052375,6.698161,342
5.007928,7.019325,343
4.468598,7.196436,344
4.288125,7.670671,345
5.360488,5.324673,346
4.885495,6.372292,347
5.431015,5.268044,348
4.300095,7.69112,349
5.411097,5.32058,350
4.31614,7.638051,351
5.709052,5.336262,352
5.112388,6.556909,353
5.375327,6.039834,354
5.08815,6.528379,355
4.304105,7.633987,356
4.242586,7.793883,357
4.31429,7.628106,358
5.66133,5.350448,359
5.488371,6.24434,360
4.328279,7.654248,361
5.545194,6.76423,362
5.548469,6.013554,363
5.412256,5.392459,364
5.655803,5.147292,365
4.284019,7.646031,366
4.295841,7.699665,367
5.487362,5.899563,368
5.464824,5.902332,369
5.674696,5.274828,370
5.968315,4.930772,371
5.632525,5.154161,372
5.651669,6.069777,373
5.400027,6.596645,374
5.562163,5.714355,375
4.304586,7.659784,376
3.465073,5.56156,377
4.28985,8.167174,378
5.358642,4.341886,379
4.145765,7.971997,380
5.684827,6.359614,381
5.386141,6.657376,382
5.900457,5.582924,383
3.989445,7.290126,384
3.57536,7.393934,385
4.316714,8.366475,386
5.951024,5.050775,387
4.017087,7.491735,388
6.062075,5.586631,389
5.659406,6.516686,390
5.715629,6.48628,391
5.708421,4.481253,392
6.013467,5.865282,393
4.106311,7.62483,394
4.628975,6.263587,395
5.883333,6.218265,396
4.5524,8.009727,397
5.614298,5.201526,398
4.653412,7.059597,399
5.250413,6.599958,400
4.556305,7.003513,401
5.43388,5.884244,402
3.940288,6.397392,403
4.552097,7.045041,404
5.774325,4.890296,405
4.85097,5.692017,406
5.099498,6.506826,407
4.403651,7.828631,408
5.634355,6.669668,409
3.052318,6.698056,410
5.559373,5.072729,411
5.568324,6.304954,412
3.141951,6.823264,413
4.36512,7.998107,414
4.415312,7.141315,415
5.435843,5.141722,416
4.423356,7.155696,417
4.813718,5.962013,418
4.529951,6.818896,419
6.06489,5.437544,420
4.135315,7.515932,421
5.687306,6.591623,422
4.559221,6.975694,423
4.555961,5.92135,424
5.447545,5.88019,425
5.535864,5.194856,426
5.783751,5.428453,427
5.515637,5.937754,428
5.618832,6.814697,429
3.854563,6.980515,430
5.687919,5.377214,431
6.126761,6.014974,432
6.038372,5.717735,433
4.800259,6.090164,434
5.521911,6.058607,435
4.661053,6.077378,436
5.192709,6.761887,437
4.526526,6.632593,438
5.715413,6.421474,439
5.458431,6.694866,440
5.326849,6.241794,441
5.600255,5.10919,442
4.655583,6.615077,443
4.27413,8.165948,444
4.326628,5.821607,445
4.271642,8.338159,446
4.242486,7.794234,447
5.802984,6.560909,448
6.153492,5.342806,449
4.104954,7.799698,450
5.503746,6.83198,451
4.554436,4.616034,452
4.878324,5.615907,453
5.665368,6.39483,454
5.771457,6.627009,455
5.237255,6.627182,456
4.338249,5.925471,457
4.03479,7.686281,458
5.459189,6.179854,459
5.018287,6.300275,460
4.625742,6.81503,461
3.953733,7.774919,462
4.452804,6.325482,463
4.419901,6.51715,464
4.4416079999999996,6.361704,465
5.489541,6.13588,466
4.433448,6.324847,467
5.537513,5.091934,468
5.538599,5.894664,469
5.726893,4.831587,470
5.574063,5.058978,471
4.86636,7.250124,472
5.562107,5.714698,473
5.822976,6.442041,474
6.041653,6.276765,475
5.789189,6.574521,476
4.581695,8.190398,477
5.923266,5.317037,478
4.91282,5.773179,479
6.16299,2.931612,480
5.356123,6.144058,481
4.992043,5.554729,482
4.559858,6.710153,483
4.53974,6.503569,484
3.955416,7.75856,485
4.841929,7.254552,486
4.549301,6.666347,487
5.376077,5.308267,488
4.980566,7.182113,489
4.892434,7.119813,490
5.661444,6.706759,491
